iter	Passed	Remaining
0	135	135445
1	136	67992
2	136	45487
3	137	34214
4	137	27449
5	138	22963
6	139	19743
7	139	17328
8	140	15453
9	140	13949
10	141	12721
11	142	11700
12	142	10833
13	143	10094
14	144	9469
15	144	8905
16	145	8405
17	145	7961
18	146	7560
19	147	7205
20	147	6880
21	148	6585
22	148	6316
23	149	6070
24	149	5846
25	150	5639
26	151	5446
27	151	5267
28	152	5098
29	152	4942
30	153	4799
31	154	4661
32	154	4532
33	155	4410
34	156	4305
35	156	4198
36	157	4100
37	158	4005
38	158	3914
39	159	3824
40	159	3740
41	160	3659
42	161	3585
43	161	3515
44	162	3447
45	163	3381
46	163	3320
47	164	3259
48	164	3201
49	165	3143
50	165	3088
51	166	3035
52	166	2983
53	167	2940
54	168	2899
55	169	2855
56	170	2813
57	170	2773
58	171	2732
59	171	2691
60	172	2653
61	172	2615
62	173	2581
63	174	2549
64	174	2517
65	175	2485
66	176	2454
67	176	2423
68	177	2393
69	177	2363
70	178	2336
71	179	2308
72	179	2284
73	180	2259
74	181	2234
75	181	2211
76	182	2187
77	183	2163
78	183	2140
79	184	2118
80	184	2097
81	185	2075
82	185	2053
83	186	2034
84	187	2014
85	187	1995
86	188	1977
87	189	1959
88	189	1941
89	190	1923
90	190	1907
91	191	1890
92	192	1873
93	192	1857
94	193	1842
95	194	1827
96	194	1811
97	195	1796
98	195	1781
99	196	1766
100	196	1752
101	197	1738
102	198	1724
103	198	1711
104	199	1698
105	199	1686
106	200	1675
107	201	1664
108	202	1652
109	202	1640
110	203	1628
111	203	1616
112	204	1605
113	205	1595
114	205	1584
115	206	1574
116	207	1563
117	207	1552
118	208	1542
119	208	1531
120	209	1521
121	209	1511
122	210	1501
123	211	1492
124	211	1483
125	212	1473
126	212	1463
127	213	1454
128	214	1446
129	214	1436
130	215	1427
131	215	1419
132	216	1410
133	217	1402
134	217	1394
135	218	1386
136	218	1378
137	219	1371
138	220	1363
139	220	1355
140	221	1347
141	221	1338
142	222	1331
143	222	1323
144	223	1318
145	224	1311
146	224	1304
147	225	1298
148	226	1291
149	226	1285
150	227	1278
151	227	1271
